Data Type,Name,Label,Data Type,Vocabulary,FileName
BuilPermFD,OwnerCity,Owner City,String,,building-permits-field-definitions.xlsx
BuilPermFD,OwnerCo,Owner Care Of,String,,building-permits-field-definitions.xlsx
BuilPermFD,OwnerCode,Owner Code,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,OwnerName,Owner Name,String,,building-permits-field-definitions.xlsx
BuilPermFD,OwnerState,Owner State,String,,building-permits-field-definitions.xlsx
BuilPermFD,OwnerZIP,Owner ZIP,String,,building-permits-field-definitions.xlsx
BuilPermFD,Parcel,Parcel Number,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,Parcel9,Parcel 9,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,Parity,Parity,String,,building-permits-field-definitions.xlsx
BuilPermFD,PoliceDist,Police District,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,PrclErr,Geocoding Error Code,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,Precinct02,2002 Inspection Precinct,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,Precinct10,2012 Precinct,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,ProjectType,Project Type,Integer,Permit Project Type,building-permits-field-definitions.xlsx
BuilPermFD,StDir,Street Direction,String,,building-permits-field-definitions.xlsx
BuilPermFD,StName,Street Name,String,,building-permits-field-definitions.xlsx
BuilPermFD,StrucType1,Structure Type 1,Integer,Permit Structure Type,building-permits-field-definitions.xlsx
BuilPermFD,StrucType2,Structure Type 2,Integer,Permit Structure Type,building-permits-field-definitions.xlsx
BuilPermFD,StrucType3,Structure Type 3,Integer,Permit Structure Type,building-permits-field-definitions.xlsx
BuilPermFD,StType,Street Type,String,,building-permits-field-definitions.xlsx
BuilPermFD,TmpCityBlock,Temp City Block,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,TmpParcel,Temp Parcel,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,UnitNum,Unit Number,String,,building-permits-field-definitions.xlsx
BuilPermFD,UpDateGeo,Geo Updated,Date,,building-permits-field-definitions.xlsx
BuilPermFD,Ward00,2002 Ward,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,Ward10,2012 Ward,Integer,,building-permits-field-definitions.xlsx
DemoPermFD,AddrAdjusted,Address Adjusted,Boolean,,demolition-permits-field-definitions.xlsx
DemoPermFD,AddrNum,Address Number,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,AddrSuf,Address Suffix,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,AppDate,Application Date,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,AppDescription,Application Description,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,AppNum,Application Number,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,AppSource,Application Source,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,AppType,Application Type,String,Permit Application Type,demolition-permits-field-definitions.xlsx
DemoPermFD,AsrNbrhd,Assessor Neighborhood,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,CancelDate,Canceled Date,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,CancelType,Cancel Type,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CDADist,CDA District,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,CDASubDist,CDA Sub District,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,CensBlock00,2000 Census Block,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,CensGroup10,2010 Census Group,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,CensTract10,2010 Census Tract,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,CityBlock,City Block,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,CompleteDate,Completed Date,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrAddr,Contractor Address,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrCity,Contractor City,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrContact,Contractor Contact Person,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrName,Contractor Name,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrNum,Contractor License Number,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrPhone,Contractor Phone,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrState,Contractor State,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,ContrZIP,Contractor ZIP,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CorrAddr,Correspondent Address,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CorrCity,Correspondent City,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CorrCo,Correspondent Care Of,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CorrName,Correspondent Name,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CorrState,Correspondent State,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,CorrZIP,Correspondent ZIP,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,DemoType,Demolition Source,String,Demolition Source,demolition-permits-field-definitions.xlsx
DemoPermFD,EstProjectCost,Estimated Project Cost,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,FirstDate,First Appearance Date,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,GeoCityBLockPart,City Block Part,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,Handle,Handle,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,InspArea10,2012 Inspection Precinct,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,IssueDate,Issued Date,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,LastDate,Last Date Appeared,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,MainStrucType,Main Structure Type,Integer,Permit Structure Type,demolition-permits-field-definitions.xlsx
DemoPermFD,Nbrhd,Neighborhood,Integer,Neighborhood,demolition-permits-field-definitions.xlsx
DemoPermFD,NbrOfUnits,Units,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,NewUse,New Use,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,NewUseGroup1,New User Group 1,String,Permit Use Group,demolition-permits-field-definitions.xlsx
DemoPermFD,NewUseGroup2,New User Group 2,String,Permit Use Group,demolition-permits-field-definitions.xlsx
DemoPermFD,NewUseGroup3,New User Group 3,String,Permit Use Group,demolition-permits-field-definitions.xlsx
DemoPermFD,NLC,NLC,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,OccAddr,Occupant Address,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OccCity,Occupant City,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OccCo,Occupant Care Of,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OccName,Occupant Name,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OccState,Occupant State,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OccZIP,Occupant ZIP,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OldUse,Old Use,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OldUseGroup1,Old User Group 1,String,Permit Use Group,demolition-permits-field-definitions.xlsx
DemoPermFD,OldUseGroup2,Old User Group 2,String,Permit Use Group,demolition-permits-field-definitions.xlsx
DemoPermFD,OldUseGroup3,Old User Group 3,String,Permit Use Group,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerAddr,Owner Address,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerCity,Owner City,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerCo,Owner Care Of,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerCode,Owner Code,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerName,Owner Name,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerState,Owner State,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,OwnerZIP,Owner ZIP,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,Parcel,Parcel Number,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,Parcel9,Parcel 9,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,Parity,Parity,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,PoliceDist,Police District,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,PrclErr,Geocoding Error Code,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,Precinct02,2002 Inspection Precinct,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,Precinct10,2012 Precinct,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,ProjectType,Project Type,Integer,Permit Project Type,demolition-permits-field-definitions.xlsx
DemoPermFD,StDir,Street Direction,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,StName,Street Name,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,StrucType1,Structure Type 1,Integer,Permit Structure Type,demolition-permits-field-definitions.xlsx
DemoPermFD,StrucType2,Structure Type 2,Integer,Permit Structure Type,demolition-permits-field-definitions.xlsx
DemoPermFD,StrucType3,Structure Type 3,Integer,Permit Structure Type,demolition-permits-field-definitions.xlsx
DemoPermFD,StType,Street Type,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,TmpCityBlock,Temp City Block,Decimal,,demolition-permits-field-definitions.xlsx
DemoPermFD,TmpParcel,Temp Parcel,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,UnitArea,Unit Area,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,UnitHeight,Unit Height,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,UnitLength,Unit Length,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,UnitNum,Unit Number,String,,demolition-permits-field-definitions.xlsx
DemoPermFD,UnitVolume,Unit Volume,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,UnitWidth,Unit Width,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,UpDateGeo,Geo Updated,Date,,demolition-permits-field-definitions.xlsx
DemoPermFD,Ward00,2002 Ward,Integer,,demolition-permits-field-definitions.xlsx
DemoPermFD,Ward10,2012 Ward,Integer,,demolition-permits-field-definitions.xlsx
